node_1,node_2
0,9481
0,9570
0,9664
0,9668
0,9904
1,6898
1,9803
1,9892
1,9903
1,9956
2,3480
2,8041
2,8348
2,8889
2,9933
3,2709
3,5353
3,5997
3,9625
3,9972
4,1694
4,2168
4,9398
4,9814
4,9924
5,2372
5,3215
5,3545
5,8476
5,8778
6,286
6,3734
6,6158
6,7939
6,9292
7,3184
7,3440
7,5942
7,8242
7,9443
8,6215
8,9396
8,9589
8,9980
8,9981
9,775
9,7917
9,8139
9,9333
9,9545
10,9325
10,9603
10,9849
10,9945
10,9952
11,8457
11,8957
11,9499
11,9833
11,9999
12,2907
12,9147
12,9197
12,9334
12,9653
13,9158
13,9420
13,9560
13,9711
13,9825
14,1435
14,8225
14,8963
14,9028
14,9413
15,5476
15,9678
15,9687
15,9861
15,9872
16,6945
16,8256
16,9305
16,9881
16,9957
17,4654
17,8732
17,9489
17,9635
17,9999
18,2192
18,4110
18,6298
18,9173
18,9685
19,3050
19,7635
19,9052
19,9212
19,9534
20,8898
20,9246
20,9274
20,9837
20,9956
21,4215
21,9284
21,9644
21,9737
21,9794
22,8781
22,8904
22,9902
22,9959
23,5046
23,8478
23,9184
23,9259
23,9348
24,6492
24,9663
24,9902
24,9938
24,9988
25,5691
25,6122
25,8602
25,9851
25,9963
26,7923
26,8396
26,8544
26,9202
26,9940
27,1672
27,7940
27,8650
27,9014
27,9848
28,8737
28,8920
28,9361
28,9626
28,9671
29,2147
29,9696
29,9835
29,9862
29,9980
30,4917
30,8301
30,8793
30,9559
30,9591
31,8316
31,9107
31,9753
31,9853
31,9890
32,4585
32,7530
32,8885
32,9252
32,9965
33,3143
33,8196
33,9752
33,9893
33,9896
34,8914
34,8996
34,9819
34,9939
34,9953
35,3285
35,7926
35,7935
35,8684
35,9158
36,8902
36,9046
36,9517
36,9807
36,9882
37,4007
37,6269
37,8953
37,9292
37,9991
38,9541
38,9638
38,9828
38,9850
38,9967
39,8474
39,9754
39,9768
39,9846
39,9946
40,8090
40,9819
40,9904
40,9909
40,9989
41,8241
41,8895
41,9318
41,9532
41,9831
42,7553
42,9435
42,9470
42,9490
42,9625
43,8632
43,9517
43,9674
43,9807
43,9882
44,4120
44,6255
44,8884
44,9661
44,9828
45,1402
45,5279
45,7269
45,9476
45,9882
46,2790
46,7329
46,9436
46,9612
46,9804
47,5296
47,5381
47,6552
47,9640
47,9729
48,3308
48,6282
48,8193
48,9738
48,9868
49,2150
49,7540
49,8919
49,9558
49,9997
50,514
50,7279
50,7791
50,9726
50,9972
51,6698
51,8499
51,9177
51,9840
51,9987
52,1214
52,4966
52,7197
52,7220
52,8291
53,5267
53,8247
53,9886
53,9893
53,9961
54,6306
54,8680
54,9225
54,9884
54,9959
55,5796
55,9847
55,9875
55,9948
55,9949
56,7444
56,7754
56,8720
56,9105
56,9895
57,8983
57,9172
57,9584
57,9755
57,9931
58,4353
58,6051
58,7269
58,8596
58,9978
59,9855
59,9864
59,9916
59,9956
59,9973
60,2299
60,2872
60,9006
60,9110
60,9993
61,9212
61,9534
61,9707
61,9812
61,9828
62,1227
62,5952
62,7430
62,7835
62,9844
63,4868
63,6029
63,6369
63,6705
63,6795
64,5275
64,9001
64,9445
64,9764
64,9911
65,7761
65,7902
65,8372
65,9275
65,9542
66,1492
66,5578
66,7181
66,9488
66,9607
67,2857
67,6879
67,7993
67,9083
67,9189
68,4869
68,9014
68,9490
68,9676
68,9904
69,9344
69,9600
69,9881
69,9917
69,9957
70,9239
70,9291
70,9306
70,9697
70,9820
71,5450
71,9800
71,9858
71,9933
71,9980
72,6708
72,9581
72,9643
72,9911
72,9951
73,2154
73,8996
73,9512
73,9550
73,9923
74,2778
74,7033
74,7781
74,8787
74,9356
75,4867
75,5706
75,9502
75,9661
75,9779
76,3666
76,5510
76,8740
76,8814
76,9847
77,477
77,483
77,5326
77,8785
77,9608
78,7683
78,8568
78,9734
78,9757
78,9826
79,6738
79,7562
79,8074
79,9256
79,9929
80,2220
80,4651
80,8555
80,9719
80,9895
81,3761
81,5497
81,8346
81,8649
81,9356
82,2774
82,9680
82,9724
82,9904
82,9985
83,1427
83,9398
83,9961
83,9971
83,9979
84,3684
84,8020
84,9114
84,9929
84,9983
85,3174
85,9125
85,9148
85,9361
85,9561
86,4975
86,6101
86,9397
86,9745
86,9913
87,2567
87,3814
87,9361
87,9605
87,9671
88,401
88,9099
88,9153
88,9452
88,9711
89,347
89,4214
89,8667
89,8909
89,9943
90,4067
90,6568
90,6952
90,8302
90,9763
91,7082
91,9260
91,9284
91,9352
91,9755
92,7965
92,8563
92,9013
92,9048
92,9799
93,6136
93,8266
93,9863
93,9976
93,9991
94,1970
94,6586
94,8155
94,8268
94,8598
95,2490
95,9112
95,9316
95,9329
95,9818
96,3214
96,6581
96,9164
96,9563
96,9982
97,152
97,1926
97,5792
97,7712
97,9931
98,7139
98,7156
98,9541
98,9603
98,9850
99,822
99,7954
99,9673
99,9862
99,9980
100,4515
100,9689
100,9725
100,9905
100,9966
101,2758
101,3576
101,9909
101,9930
101,9989
102,5109
102,9432
102,9561
102,9653
102,9669
103,6412
103,7706
103,8396
103,8544
103,9463
104,9159
104,9739
104,9978
104,9988
104,9992
105,1625
105,9231
105,9302
105,9758
105,9838
106,7393
106,7665
106,8378
106,9101
106,9999
107,2350
107,4204
107,8514
107,9674
107,9966
108,4848
108,6653
108,9934
108,9944
108,9982
109,9644
109,9730
109,9743
109,9794
109,9811
110,9199
110,9566
110,9779
110,9927
110,9979
111,2385
111,2743
111,2872
111,5736
111,8051
112,5074
112,8831
112,9813
112,9840
112,9936
113,5251
113,8030
113,8108
113,9404
113,9969
114,7999
114,8687
114,9572
114,9908
114,9938
115,4627
115,6829
115,9232
115,9970
115,9984
116,5246
116,8550
116,9869
116,9875
116,9887
117,3091
117,3548
117,9433
117,9828
117,9941
118,4952
118,7962
118,8603
118,9070
118,9895
119,1786
119,8485
119,9327
119,9753
119,9883
120,4732
120,6380
120,7761
120,9548
120,9969
121,4410
121,8457
121,9429
121,9486
121,9903
122,914
122,4023
122,4859
122,9771
122,9980
123,5730
123,8728
123,9377
123,9783
123,9958
124,1568
124,6064
124,7891
124,9051
124,9103
125,447
125,3656
125,6785
125,8634
125,9650
126,9000
126,9421
126,9576
126,9762
126,9873
127,9679
127,9813
127,9909
127,9958
127,9989
128,1158
128,1416
128,9372
128,9933
128,9995
129,392
129,6351
129,8071
129,8313
129,9044
130,5452
130,9196
130,9387
130,9950
130,9964
131,8240
131,9157
131,9638
131,9952
131,9976
132,5585
132,8429
132,9492
132,9500
132,9752
133,676
133,9283
133,9479
133,9703
133,9722
134,2245
134,8937
134,9687
134,9719
134,9872
135,6745
135,6940
135,8095
135,9736
135,9947
136,9308
136,9412
136,9788
136,9865
136,9955
137,8720
137,9145
137,9757
137,9826
137,9832
138,5558
138,7334
138,9187
138,9747
138,9953
139,7669
139,8876
139,9567
139,9862
139,9879
140,7945
140,9254
140,9283
140,9387
140,9722
141,3874
141,6686
141,7587
141,9922
141,9988
142,6077
142,8479
142,9493
142,9899
142,9989
143,3827
143,5962
143,9248
143,9501
143,9677
144,4098
144,4687
144,8761
144,9282
144,9812
145,9390
145,9632
145,9710
145,9777
145,9815
146,7303
146,9247
146,9412
146,9631
146,9972
147,1581
147,4970
147,7390
147,8213
147,9356
148,9388
148,9702
148,9743
148,9775
148,9848
149,8938
149,9418
149,9676
149,9923
149,9933
150,217
150,4746
150,7765
150,9341
150,9467
151,3008
151,6462
151,8455
151,9601
151,9717
152,97
152,6374
152,8766
152,9532
152,9815
153,2422
153,6662
153,9311
153,9806
153,9986
154,2159
154,5446
154,6979
154,7510
154,8439
155,6270
155,9568
155,9582
155,9588
155,9949
156,9522
156,9706
156,9729
156,9837
156,9952
157,3018
157,6830
157,9881
157,9917
157,9963
158,4254
158,8437
158,8581
158,9344
158,9554
159,6159
159,9379
159,9465
159,9767
159,9784
160,4590
160,4932
160,5001
160,7597
160,9985
161,3677
161,4993
161,8910
161,9808
161,9867
162,5024
162,5296
162,5381
162,6199
162,9794
163,6394
163,9471
163,9834
163,9894
163,9943
164,8714
164,8977
164,9689
164,9777
164,9931
165,6066
165,8501
165,9774
165,9929
165,9983
166,7498
166,9363
166,9457
166,9736
166,9947
167,8041
167,8205
167,9392
167,9773
167,9999
168,3886
168,6633
168,9692
168,9851
168,9963
169,1128
169,6890
169,7485
169,7882
169,9667
170,8569
170,8987
170,9836
170,9908
170,9995
171,2446
171,3007
171,3672
171,7978
171,9710
172,632
172,9545
172,9648
172,9810
172,9882
173,7123
173,7943
173,9079
173,9166
173,9706
174,8388
174,8498
174,8609
174,9534
174,9812
175,9386
175,9578
175,9880
175,9906
175,9977
176,5034
176,7604
176,8684
176,9345
176,9579
177,3956
177,4630
177,5498
177,9055
177,9812
178,3416
178,9541
178,9922
178,9978
178,9988
179,568
179,6988
179,8615
179,8955
179,9798
180,8151
180,8604
180,9728
180,9940
180,9993
181,9337
181,9602
181,9701
181,9770
181,9814
182,5797
182,6874
182,7953
182,8558
182,9372
183,445
183,6304
183,8474
183,9343
183,9758
184,9145
184,9352
184,9773
184,9906
184,9997
185,4792
185,7919
185,8808
185,9580
185,9656
186,8318
186,8382
186,9400
186,9458
186,9563
187,3514
187,4390
187,7357
187,9883
187,9947
188,6701
188,8511
188,9113
188,9718
188,9932
189,346
189,8738
189,8769
189,9943
189,9954
190,6478
190,8354
190,8845
190,9277
190,9723
191,6200
191,9091
191,9683
191,9879
191,9912
192,9425
192,9431
192,9480
192,9724
192,9941
193,7259
193,9174
193,9224
193,9507
193,9861
194,2269
194,4222
194,8083
194,8365
194,9608
195,439
195,4427
195,8877
195,9270
195,9458
196,2608
196,4432
196,5970
196,5981
196,8334
197,523
197,9294
197,9489
197,9542
197,9771
198,3416
198,6021
198,6885
198,9194
198,9545
199,5669
199,8477
199,8627
199,9523
199,9818
200,8545
200,9457
200,9495
200,9733
200,9974
201,6456
201,8224
201,9874
201,9971
201,9975
202,3653
202,9627
202,9978
202,9988
202,9992
203,3247
203,5214
203,6627
203,7166
203,9758
204,7638
204,8801
204,9521
204,9809
204,9961
205,8357
205,9489
205,9655
205,9871
205,9987
206,6126
206,6516
206,7021
206,8837
206,9706
207,2523
207,4461
207,6709
207,7173
207,8739
208,2217
208,7833
208,8479
208,9196
208,9327
209,4365
209,8362
209,9154
209,9652
209,9948
210,2876
210,9370
210,9699
210,9808
210,9923
211,8792
211,9026
211,9342
211,9509
211,9926
212,7507
212,7697
212,9429
212,9488
212,9700
213,2657
213,3525
213,9279
213,9423
213,9653
214,7704
214,9306
214,9665
214,9758
214,9882
215,1213
215,6013
215,6796
215,9418
215,9939
216,3031
216,3184
216,9818
216,9990
216,9993
217,150
217,4272
217,6326
217,7767
217,9981
218,348
218,4410
218,5019
218,7688
218,8569
219,7216
219,8722
219,8988
219,9950
219,9964
220,7850
220,8181
220,9595
220,9752
220,9925
221,4986
221,9767
221,9784
221,9825
221,9922
222,5851
222,7471
222,8875
222,9878
222,9999
223,9317
223,9768
223,9847
223,9955
223,9970
224,3754
224,7430
224,9382
224,9892
224,9903
225,2190
225,4842
225,8309
225,8439
225,8735
226,4659
226,5391
226,7520
226,8573
226,9611
227,676
227,4259
227,5950
227,6674
227,8789
228,3137
228,8992
228,9408
228,9663
228,9866
229,1667
229,3226
229,9613
229,9734
229,9832
230,245
230,1617
230,5331
230,7617
230,8535
231,4712
231,6437
231,6901
231,9654
231,9671
232,5663
232,8446
232,9703
232,9830
232,9884
233,5962
233,9483
233,9605
233,9653
233,9987
234,9458
234,9818
234,9928
234,9934
234,9986
235,9564
235,9683
235,9811
235,9839
235,9849
236,5980
236,6825
236,9674
236,9799
236,9905
237,3110
237,8838
237,9238
237,9435
237,9928
238,7187
238,8011
238,8372
238,9364
238,9673
239,6468
239,7252
239,8484
239,8723
239,8748
240,7298
240,9468
240,9808
240,9867
240,9896
241,3383
241,5503
241,7348
241,9837
241,9908
242,1392
242,5011
242,8849
242,9840
242,9871
243,7236
243,7426
243,7450
243,8507
243,9933
244,6584
244,6864
244,9471
244,9705
244,9946
245,230
245,1196
245,1672
245,5331
245,8465
246,2590
246,6431
246,8507
246,8657
246,8905
247,1972
247,2924
247,3070
247,5448
247,7859
248,3570
248,3659
248,5190
248,5886
248,8474
249,2706
249,7723
249,8704
249,9479
249,9722
250,5473
250,8645
250,9137
250,9371
250,9947
251,6687
251,7933
251,9394
251,9462
251,9732
252,7356
252,7495
252,9928
252,9944
252,9982
253,8789
253,9909
253,9926
253,9930
253,9989
254,5778
254,9454
254,9626
254,9855
254,9994
255,855
255,2093
255,4451
255,9376
255,9942
256,9181
256,9387
256,9512
256,9604
256,9703
257,529
257,5945
257,6414
257,9004
257,9237
258,8203
258,9382
258,9486
258,9777
258,9892
259,7936
259,8199
259,9035
259,9253
259,9662
260,8249
260,9741
260,9769
260,9861
260,9965
261,6675
261,7273
261,9631
261,9959
261,9973
262,1080
262,7313
262,9574
262,9904
262,9985
263,3995
263,6603
263,7011
263,8450
263,9560
264,1712
264,3770
264,9642
264,9825
264,9999
265,2820
265,8071
265,8786
265,9425
265,9853
266,5358
266,7852
266,7886
266,8130
266,9960
267,6540
267,8001
267,8851
267,9004
267,9919
268,1727
268,8978
268,9681
268,9945
268,9976
269,9131
269,9213
269,9841
269,9889
269,9998
270,2183
270,4504
270,4563
270,6437
270,7377
271,919
271,8753
271,8850
271,9436
271,9804
272,1267
272,5348
272,9612
272,9828
272,9837
273,4425
273,4783
273,6943
273,9785
273,9846
274,1466
274,2597
274,9411
274,9778
274,9806
275,276
275,4238
275,4878
275,5289
275,9950
276,275
276,6577
276,9467
276,9631
276,9707
277,3300
277,7145
277,7704
277,9890
277,9941
278,6138
278,8527
278,9313
278,9683
278,9879
279,3192
279,7932
279,8166
279,8481
279,8923
280,2249
280,7596
280,8761
280,9052
280,9812
281,9422
281,9548
281,9615
281,9621
281,9720
282,7274
282,8669
282,9315
282,9660
282,9958
283,3631
283,5159
283,9254
283,9585
283,9722
284,8310
284,9095
284,9467
284,9750
284,9904
285,9027
285,9650
285,9699
285,9954
285,9971
286,6
286,1841
286,3952
286,8982
286,9802
287,6699
287,7093
287,9203
287,9604
287,9964
288,3804
288,6908
288,6993
288,9837
288,9859
289,6229
289,8549
289,8666
289,8959
289,9827
290,5779
290,7921
290,8521
290,9331
290,9722
291,512
291,6761
291,8210
291,8987
291,9705
292,5566
292,7938
292,8869
292,8908
292,9888
293,8412
293,9439
293,9937
293,9960
293,9968
294,9100
294,9631
294,9707
294,9709
294,9741
295,8756
295,9228
295,9693
295,9736
295,9947
296,5392
296,9382
296,9682
296,9883
296,9910
297,9491
297,9631
297,9707
297,9709
297,9814
298,4221
298,5435
298,9090
298,9254
298,9314
299,6318
299,7952
299,8122
299,9500
299,9750
300,8249
300,9726
300,9814
300,9957
300,9963
301,6418
301,6673
301,7027
301,8467
301,9988
302,2509
302,9130
302,9289
302,9579
302,9895
303,7092
303,9367
303,9544
303,9647
303,9770
304,832
304,8687
304,9772
304,9785
304,9889
305,4257
305,9576
305,9811
305,9873
305,9918
306,6950
306,8840
306,9350
306,9990
306,9993
307,4277
307,5783
307,6895
307,6897
307,7227
308,2585
308,4086
308,5014
308,6863
308,9833
309,2765
309,4513
309,6057
309,9881
309,9957
310,3614
310,3992
310,4508
310,4565
310,6605
311,2456
311,6128
311,7869
311,9021
311,9333
312,2439
312,9264
312,9493
312,9506
