node_1,node_2
0,1
0,2
0,3
0,4
0,5
0,6
0,7
0,8
0,9
1,0
1,4
1,2
1,6
1,7
1,10
1,11
1,3
1,5
1,12
1,13
1,8
1,9
1,14
1,15
1,16
1,17
12,18
12,19
12,20
12,21
12,22
12,23
12,24
12,25
12,26
12,27
12,2
12,7
12,11
12,1
12,28
12,29
12,8
12,30
12,31
12,32
12,33
12,34
12,35
12,36
37,38
37,39
37,40
37,29
37,41
37,42
37,43
37,44
37,30
37,45
37,34
37,27
37,46
37,47
37,48
48,37
48,29
48,45
48,44
48,49
48,50
48,41
51,46
51,43
51,52
51,53
51,54
51,42
51,55
51,47
51,56
51,57
51,58
49,29
49,45
49,44
49,48
49,41
49,50
59,29
59,60
59,30
59,45
59,61
59,44
59,41
60,29
60,61
60,30
60,59
61,29
61,60
61,30
61,59
62,29
62,63
62,64
65,29
65,66
65,67
65,68
65,69
65,70
65,71
65,63
65,72
65,73
69,29
69,66
69,65
69,67
69,68
69,70
69,71
69,63
21,18
21,19
21,12
21,2
21,11
21,20
21,23
21,24
21,28
21,74
21,75
21,33
76,77
77,76
78,43
78,52
78,56
78,53
78,79
78,80
78,57
78,47
78,42
78,55
81,82
81,83
82,81
82,84
82,85
82,83
82,86
82,87
82,27
82,88
82,89
90,74
90,91
90,92
90,93
90,94
90,95
96,74
96,91
96,97
96,98
95,74
95,99
95,91
95,97
95,100
95,94
95,101
95,102
95,90
94,74
94,91
94,103
94,100
94,104
94,105
94,106
94,107
94,101
94,102
94,108
94,109
94,90
94,110
94,111
94,95
94,112
94,113
94,114
94,115
102,74
102,91
102,100
102,101
102,94
102,109
102,95
20,18
20,19
20,12
20,27
20,2
20,11
20,21
20,28
20,26
20,31
20,24
20,35
116,74
116,91
116,117
116,118
119,120
119,121
119,75
119,122
119,123
119,124
119,125
121,119
121,124
121,120
121,125
126,86
126,87
126,83
126,88
75,123
75,120
75,124
75,119
75,28
75,127
75,21
123,75
123,119
123,120
123,124
124,75
124,127
124,120
124,119
124,121
124,123
124,125
124,128
127,75
127,120
127,128
127,129
127,130
127,131
127,132
127,133
127,134
127,135
127,124
127,136
127,137
127,138
127,139
55,53
55,52
55,57
55,140
55,141
55,142
55,78
55,47
55,56
55,58
55,143
55,144
55,51
55,145
80,53
80,52
80,57
80,78
80,79
80,56
24,18
24,19
24,12
24,21
24,28
24,33
24,20
54,53
54,52
54,56
54,51
99,95
99,146
99,91
146,99
146,147
130,120
130,128
130,133
130,131
130,132
130,127
130,129
128,130
128,148
128,132
128,133
128,120
128,149
128,127
128,150
128,134
128,137
128,138
128,129
128,131
128,124
128,151
128,152
128,153
128,154
128,139
133,130
133,132
133,128
133,120
133,127
133,134
133,129
133,131
131,130
131,127
131,129
131,120
131,128
131,133
131,135
131,136
84,83
84,82
84,86
84,87
84,88
122,155
122,119
155,122
156,157
156,158
156,159
156,160
156,161
156,6
156,7
156,162
156,163
156,8
148,134
148,137
148,138
148,128
148,150
134,148
134,132
134,127
134,150
134,128
134,120
134,137
134,138
134,133
134,129
134,154
137,148
137,132
137,127
137,150
137,134
137,128
137,120
137,138
137,154
138,148
138,132
138,127
138,150
138,134
138,137
138,128
138,120
138,154
164,165
164,166
164,167
164,168
164,169
164,170
164,171
164,172
164,173
165,164
165,170
165,171
165,71
165,166
165,174
165,167
165,22
165,169
165,175
165,172
165,173
165,168
165,176
165,17
166,164
166,167
166,169
166,170
166,171
166,165
166,172
166,173
166,168
167,164
167,177
167,169
167,166
167,170
167,171
167,165
167,178
167,179
167,22
167,101
167,172
167,180
167,181
167,182
167,183
167,176
167,14
167,112
167,184
167,17
168,164
168,171
168,172
168,173
168,165
168,71
168,174
168,166
168,176
169,164
169,177
169,167
169,178
169,179
169,182
169,184
169,166
169,170
169,171
169,165
169,172
169,180
169,176
157,156
157,160
157,161
157,158
157,6
157,185
157,186
157,7
157,162
157,163
157,159
157,8
157,187
157,188
157,189
190,27
190,34
190,2
190,191
190,25
190,30
190,192
190,29
190,32
190,11
190,44
192,190
192,34
192,27
192,191
192,25
192,2
192,30
192,29
192,32
192,44
192,11
32,190
32,192
32,27
32,2
32,11
32,34
32,191
32,12
32,30
32,29
32,193
66,65
66,67
66,69
66,68
66,70
66,71
194,195
194,85
194,196
195,194
195,196
195,85
85,194
85,195
85,82
196,194
196,195
196,71
196,68
177,167
177,178
177,179
177,169
177,170
177,180
178,177
178,169
178,170
178,179
178,167
178,180
178,182
178,176
178,184
158,156
158,160
158,161
158,157
158,6
158,162
179,177
179,169
179,170
179,178
179,167
179,180
179,182
179,183
179,176
179,184
182,169
182,170
182,180
182,167
182,184
182,179
182,178
182,22
182,183
182,176
182,112
182,17
184,169
184,170
184,180
184,181
184,182
184,183
184,176
184,167
184,179
184,178
184,22
184,17
118,91
118,117
118,116
97,74
97,91
97,96
97,95
97,98
97,197
50,45
50,48
50,41
50,49
50,44
140,52
140,55
140,141
140,142
140,58
140,144
140,145
141,52
141,55
141,140
141,58
141,144
141,145
198,199
199,198
159,156
159,163
159,157
159,8
132,128
132,120
132,133
132,129
132,130
132,134
132,137
132,138
132,127
132,139
129,132
129,127
129,134
129,120
129,128
129,130
129,131
129,133
129,139
170,167
170,169
170,172
170,164
170,178
170,171
170,165
170,166
170,180
170,176
170,179
170,182
170,200
170,177
170,201
170,184
172,170
172,171
172,164
172,165
172,166
172,167
172,168
172,169
172,71
172,173
171,170
171,172
171,164
171,165
171,166
171,167
171,168
171,169
171,173
180,170
180,167
180,169
180,178
180,177
180,179
180,176
180,182
180,184
200,170
200,201
201,170
201,200
103,101
103,94
103,22
103,23
103,202
103,108
103,203
103,204
103,100
103,181
103,107
202,103
202,176
202,22
202,181
202,205
202,17
160,156
160,158
160,157
160,161
160,6
108,103
108,107
108,94
203,103
203,204
204,103
204,203
100,103
100,94
100,101
100,91
100,95
100,74
100,114
100,106
100,102
100,110
100,104
100,111
100,112
100,113
100,206
181,103
181,207
181,205
181,208
181,22
181,209
181,167
181,184
181,176
181,202
181,17
193,32
193,27
193,2
89,82
210,211
210,212
210,213
210,214
210,215
211,210
212,210
212,215
39,38
39,42
39,43
39,40
39,29
39,46
39,41
39,47
39,44
39,52
39,45
39,53
39,216
39,63
39,217
39,37
213,210
213,215
98,97
98,74
98,96
98,91
73,70
73,67
73,65
174,165
174,173
174,168
174,176
174,17
174,175
174,71
175,165
175,176
175,17
175,218
175,22
175,174
175,219
175,220
142,55
142,140
142,58
142,144
142,145
149,128
149,151
149,152
149,153
135,127
135,131
135,120
136,127
136,131
136,120
150,137
150,138
150,128
150,134
150,120
150,148
2,0
2,19
2,27
2,11
2,12
2,1
2,20
2,34
2,18
2,13
2,26
2,3
2,21
2,30
2,191
2,4
2,221
2,5
2,25
2,44
2,31
2,176
2,6
2,7
2,10
2,28
2,29
2,8
2,190
2,9
2,192
2,32
2,193
2,41
2,14
2,112
2,222
2,15
2,16
2,17
38,39
38,42
38,43
38,29
38,40
38,47
